Date,ProductID,SalesVolume,CurrentStock,ReorderLevel,DailyCapacity,CurrentUtilization,LaborCost,MaterialCost,TransportCost,SeasonalityIndex,ExternalFactor,TargetAllocation,DayOfWeek,Month,Quarter,IsWeekend,SalesMA7,SalesSTD7,StockMA7,UtilMA7,SalesMA14,SalesSTD14,StockMA14,UtilMA14,SalesMA30,SalesSTD30,StockMA30,UtilMA30,StockToSales,TotalCost,CostPerUnit,UtilizationEfficiency,Region_Asia,Region_Europe,Region_North America
2023-01-01,P12345,858,133,181,1187,0.75,46.33,18.02,8.99,0.9826487494475706,Strike,1913,6,1,1,1,858.0,,133.0,0.75,858.0,,133.0,0.75,858.0,,133.0,0.75,0.1548311990686845,73.33999999999999,0.08547785547785547,8.601503759398497,True,False,False
2023-01-02,P12345,998,277,198,1127,0.87,65.72,28.35,5.51,0.9826487494475706,Weather Disruption,2009,0,1,1,0,998.0,,277.0,0.87,998.0,,277.0,0.87,998.0,,277.0,0.87,0.2981700753498385,99.58,0.09977955911823647,4.141250674301838,False,False,True
2023-01-03,P12345,342,58,192,939,0.81,64.61,16.72,7.42,0.9826487494475706,,1029,1,1,1,0,600.0,364.8670990922585,95.5,0.78,600.0,364.8670990922585,95.5,0.78,600.0,364.8670990922585,95.5,0.78,0.07905497501135848,88.75,0.2595029239766082,7.279693486590038,True,False,False
2023-01-04,P12345,642,215,151,703,0.91,53.22,15.06,8.0,0.9826487494475706,Weather Disruption,1411,2,1,1,0,614.0,259.1370293879283,135.33333333333334,0.8233333333333334,614.0,259.1370293879283,135.33333333333334,0.8233333333333334,614.0,259.1370293879283,135.33333333333334,0.8233333333333334,0.30239099859353025,76.28,0.11881619937694704,3.2813697929976997,True,False,False
2023-01-05,P12345,139,225,128,985,0.89,43.97,22.53,6.01,0.9826487494475706,,960,3,1,1,0,568.5,607.4047250392443,251.0,0.88,568.5,607.4047250392443,251.0,0.88,568.5,607.4047250392443,251.0,0.88,0.3770107238605898,72.51,0.5216546762589929,0.6941323345817728,False,False,True
2023-01-06,P12345,328,298,137,1332,0.69,51.47,23.75,5.15,0.9826487494475706,Strike,1071,4,1,1,0,488.3333333333333,451.38712136406076,266.6666666666667,0.8166666666666668,488.3333333333333,451.38712136406076,266.6666666666667,0.8166666666666668,488.3333333333333,451.38712136406076,266.6666666666667,0.8166666666666668,0.5396921219438575,80.37,0.24503048780487807,1.5951755665791267,False,False,True
2023-01-07,P12345,647,237,141,530,0.7,58.58,23.68,9.74,0.9826487494475706,,1158,5,1,1,1,622.25,212.22688331123368,160.75,0.7925,622.25,212.22688331123368,160.75,0.7925,622.25,212.22688331123368,160.75,0.7925,0.41883362787174955,91.99999999999999,0.14219474497681606,3.8999397227245334,True,False,False
2023-01-08,P12345,322,112,120,887,0.64,53.63,15.82,9.75,0.9826487494475706,Weather Disruption,965,6,1,1,1,322.0,,112.0,0.64,322.0,,112.0,0.64,322.0,,112.0,0.64,0.2289051094890511,79.2,0.24596273291925466,4.4921875,False,True,False
2023-01-09,P12345,105,263,141,1124,0.72,63.41,19.71,5.03,0.9826487494475706,Weather Disruption,801,0,1,1,0,518.8,295.44830343056634,181.2,0.778,518.8,295.44830343056634,181.2,0.778,518.8,295.44830343056634,181.2,0.778,0.7270932069510269,88.15,0.8395238095238096,0.5544993662864386,True,False,False
2023-01-10,P12345,421,295,112,1376,0.95,69.93,22.49,6.36,0.9826487494475706,Strike,1690,1,1,1,0,502.5,267.2562440804704,200.16666666666666,0.8066666666666666,502.5,267.2562440804704,200.16666666666666,0.8066666666666666,502.5,267.2562440804704,200.16666666666666,0.8066666666666666,0.7908847184986595,98.78,0.23463182897862234,1.5022301516503123,True,False,False
